time,continuous_x,continuous_y,discrete_x,discrete_y
0,0,0,0,0
0.01,0.141421,0.140931,0.141421,0.140931
0.02,0.282843,0.280881,0.282843,0.280881
0.03,0.424264,0.41985,0.424264,0.41985
0.04,0.565685,0.557837,0.565685,0.557837
0.05,0.707107,0.694844,0.707107,0.694844
0.06,0.848528,0.83087,0.848528,0.83087
0.07,0.989949,0.965915,0.989949,0.965915
0.08,1.13137,1.09998,1.13137,1.09998
0.09,1.27279,1.23306,1.27279,1.23306
0.1,1.41421,1.36516,1.41421,1.36516
0.11,1.55563,1.49628,1.55563,1.49628
0.12,1.69706,1.62642,1.69706,1.62642
0.13,1.83848,1.75558,1.83848,1.75558
0.14,1.9799,1.88376,1.9799,1.88376
0.15,2.12132,2.01096,2.12132,2.01096
0.16,2.26274,2.13717,2.26274,2.13717
0.17,2.40416,2.26241,2.40416,2.26241
0.18,2.54558,2.38666,2.54558,2.38666
0.19,2.68701,2.50994,2.68701,2.50994
0.2,2.82843,2.63223,2.82843,2.63223
0.21,2.96985,2.75354,2.96985,2.75354
0.22,3.11127,2.87387,3.11127,2.87387
0.23,3.25269,2.99322,3.25269,2.99322
0.24,3.39411,3.11158,3.39411,3.11158
0.25,3.53553,3.22897,3.53553,3.22897
0.26,3.67696,3.34538,3.67696,3.34538
0.27,3.81838,3.4608,3.81838,3.4608
0.28,3.9598,3.57525,3.9598,3.57525
0.29,4.10122,3.68871,4.10122,3.68871
0.3,4.24264,3.80119,4.24264,3.80119
0.31,4.38406,3.91269,4.38406,3.91269
0.32,4.52548,4.02321,4.52548,4.02321
0.33,4.6669,4.13275,4.6669,4.13275
0.34,4.80833,4.24131,4.80833,4.24131
0.35,4.94975,4.34888,4.94975,4.34888
0.36,5.09117,4.45548,5.09117,4.45548
0.37,5.23259,4.5611,5.23259,4.5611
0.38,5.37401,4.66573,5.37401,4.66573
0.39,5.51543,4.76938,5.51543,4.76938
0.4,5.65685,4.87205,5.65685,4.87205
0.41,5.79828,4.97375,5.79828,4.97375
0.42,5.9397,5.07445,5.9397,5.07445
0.43,6.08112,5.17418,6.08112,5.17418
0.44,6.22254,5.27293,6.22254,5.27293
0.45,6.36396,5.3707,6.36396,5.3707
0.46,6.50538,5.46748,6.50538,5.46748
0.47,6.6468,5.56329,6.6468,5.56329
0.48,6.78823,5.65811,6.78823,5.65811
0.49,6.92965,5.75196,6.92965,5.75196
0.5,7.07107,5.84482,7.07107,5.84482
0.51,7.21249,5.9367,7.21249,5.9367
0.52,7.35391,6.0276,7.35391,6.0276
0.53,7.49533,6.11752,7.49533,6.11752
0.54,7.63675,6.20646,7.63675,6.20646
0.55,7.77817,6.29441,7.77817,6.29441
0.56,7.9196,6.38139,7.9196,6.38139
0.57,8.06102,6.46738,8.06102,6.46738
0.58,8.20244,6.5524,8.20244,6.5524
